"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"192.168.7.92",43848,"172.26.211.223",6003,36,3116,18,1676,18,1440,489.703113237,5.496658910999997,2439.299985154201,2095.8186029964495
"192.168.7.92",43850,"172.26.211.223",6003,589,530341,359,513601,230,16740,489.91707561,5.331601521000039,770651.7420359123,25118.156237392788
"192.168.7.92",43852,"172.26.211.223",6003,25,1852,13,1032,12,820,496.70056289,7.2752314779999665,1134.8092531441566,901.6895228471011
"192.168.7.92",43854,"172.26.211.223",6003,338,294247,200,284323,138,9924,501.861797032,2.120216510999967,1072807.4176383186,37445.2324034379
"192.168.7.92",43856,"172.26.211.223",6003,36,3097,18,1656,18,1441,503.852211367,5.339989057000025,2480.9039603992464,2158.8059220623877
"192.168.7.92",43858,"172.26.211.223",6003,1310,1243089,841,1208645,469,34444,504.045691785,5.070569651000028,1906917.8939476807,54343.40103101731
"192.168.7.92",43860,"172.26.211.223",6003,35,2890,19,1769,16,1121,510.682553625,7.012070358000017,2018.234170148349,1278.9375380080833
"192.168.7.92",43862,"172.26.211.223",6003,448,381687,259,368015,189,13672,511.224351737,5.580022314999951,527617.9616855216,19601.355303899167
"192.168.7.92",43864,"172.26.211.223",6003,36,3096,18,1656,18,1440,517.715478816,5.290811933999976,2503.9635060292544,2177.359570460221
"192.168.7.92",43866,"172.26.211.223",6003,231,197397,135,190593,96,6804,517.821699673,5.110848886999975,298334.78424266464,10650.285540324618
"192.168.7.92",43868,"172.26.211.223",6003,39,3336,20,1816,19,1520,524.704157305,5.915499304000036,2455.9211747647787,2055.616842314132
"192.168.7.92",43870,"172.26.211.223",6003,282,234341,160,225257,122,9084,524.864538095,5.637011918000098,319682.843714713,12891.936553822758
"192.168.7.92",43872,"172.26.211.223",6003,38,3223,19,1714,19,1509,531.697086944,7.227716557999997,1897.141357158351,1670.2370524807186
"192.168.7.92",43874,"172.26.211.223",6003,339,286051,194,275671,145,10380,531.816157378,7.092205808000017,310956.5711576421,11708.62806975099
"192.168.7.92",43876,"172.26.211.223",6003,34,2409,19,1371,15,1038,538.986618523,7.612893308000025,1440.7137413149155,1090.781082045866
"192.168.7.92",43878,"172.26.211.223",6003,328,273719,187,264203,141,9516,539.138607497,7.5325633100000005,280598.23900769843,10106.519768500955
"192.168.7.92",43880,"172.26.211.223",6003,20,1524,11,896,9,628,546.714029456,7.2337685679999595,990.9081183090512,694.5204222076833
"192.168.7.92",43882,"172.26.211.223",6003,117,108516,77,105620,40,2896,547.361615569,9.608323322999922,87940.42119475488,2411.2427549707454
